nome,preco,link,frequencia
iPhone 16 128GB,"R$ 4.625,81",https://www.zoom.com.br/celular/smartphone-apple-iphone-16-128gb-camera-dupla?_lc=88&searchterm=iphone,2
iPhone 15 128GB 6GB,"R$ 3.978,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-15-128gb-camera-dupla?_lc=88&searchterm=iphone,2
iPhone 16e 128GB 8 GB,"R$ 3.399,00",https://www.zoom.com.br/celular/celular-apple-iphone-16e-128gb-8-gb?_lc=88&searchterm=iphone,2
iPhone 14 128GB 6GB,"R$ 3.696,75",https://www.zoom.com.br/celular/smartphone-apple-iphone-14-128gb-camera-dupla?_lc=88&searchterm=iphone,2
Celular Apple iPhone 15 256GB 6 GB,"R$ 4.399,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-15-iphone-256gb-camera-dupla?_lc=88&searchterm=iphone,2
